unity_timestamp_s,eye_timestamp_ns,Main_Camera_local_position_x,Main_Camera_local_position_y,Main_Camera_local_position_z,Main_Camera_local_rotation_x,Main_Camera_local_rotation_y,Main_Camera_local_rotation_z,Main_Camera_local_rotation_w,Checkerboard_Stimulus_world_position_x,Checkerboard_Stimulus_world_position_y,Checkerboard_Stimulus_world_position_z,Checkerboard_Stimulus_world_rotation_x,Checkerboard_Stimulus_world_rotation_y,Checkerboard_Stimulus_world_rotation_z,Checkerboard_Stimulus_world_rotation_w,message
5.9292073062,1001209356335558000,-1.1063800000,1.1823650000,-0.0023019100,0.0768372100,0.1348045000,0.0047157720,0.9878773000,-0.8393146000,1.0318250000,0.9495457000,0.0768372100,0.1348045000,0.0047157720,0.9878773000,
5.9406540062,1001209356345603200,-1.1063980000,1.1823620000,-0.0022764530,0.0768879600,0.1348376000,0.0047376910,0.9878687000,-0.8392662000,1.0317290000,0.9495377000,0.0768879600,0.1348376000,0.0047376940,0.9878687000,
5.9519092062,1001209356355635100,-1.1063650000,1.1823860000,-0.0023151160,0.0768671000,0.1348134000,0.0047270120,0.9878737000,-0.8392808000,1.0317900000,0.9495185000,0.0768671200,0.1348134000,0.0047270120,0.9878737000,
5.9630404062,1001209356370708100,-1.1063720000,1.1823850000,-0.0022919560,0.0768859900,0.1348462000,0.0046945330,0.9878680000,-0.8392301000,1.0317450000,0.9495181000,0.0768860100,0.1348462000,0.0046945340,0.9878680000,
5.9741888062,1001209356380734500,-1.1063490000,1.1824630000,-0.0023155180,0.0769005900,0.1348721000,0.0046759910,0.9878634000,-0.8391590000,1.0317900000,0.9494761000,0.0769006100,0.1348722000,0.0046759940,0.9878634000,
5.9851729062,1001209356390700500,-1.1063350000,1.1824770000,-0.0023006350,0.0768475000,0.1348999000,0.0047467540,0.9878634000,-0.8390800000,1.0319280000,0.9494923000,0.0768475200,0.1348999000,0.0047467570,0.9878634000,
5.9966890062,1001209356400849400,-1.1063150000,1.1825320000,-0.0023024110,0.0769079200,0.1349760000,0.0047798760,0.9878481000,-0.8389081000,1.0318750000,0.9494309000,0.0769079300,0.1349760000,0.0047798780,0.9878481000,
6.0079907062,1001209356415773700,-1.1063000000,1.1825200000,-0.0022766630,0.0768666900,0.1349736000,0.0048468360,0.9878513000,-0.8388872000,1.0319630000,0.9494706000,0.0768666900,0.1349736000,0.0048468380,0.9878513000,
6.0185491062,1001209356425825100,-1.1062820000,1.1825790000,-0.0022880230,0.0769467100,0.1350020000,0.0048690250,0.9878411000,-0.8388113000,1.0318710000,0.9494193000,0.0769467100,0.1350020000,0.0048690270,0.9878411000,
6.0298607062,1001209356435825600,-1.1062680000,1.1825770000,-0.0022640630,0.0769636800,0.1349971000,0.0048684730,0.9878404000,-0.8388073000,1.0318360000,0.9494407000,0.0769636900,0.1349971000,0.0048684730,0.9878404000,
6.0408488062,1001209356445877000,-1.1062650000,1.1826000000,-0.0022884900,0.0769413800,0.1349938000,0.0048524580,0.9878427000,-0.8388129000,1.0318980000,0.9494250000,0.0769413800,0.1349937000,0.0048524600,0.9878427000,
6.0519811062,1001209356455876600,-1.1062490000,1.1826010000,-0.0022740590,0.0769220500,0.1349963000,0.0048317530,0.9878440000,-0.8387954000,1.0319310000,0.9494439000,0.0769220700,0.1349963000,0.0048317540,0.9878439000,
6.0629122062,1001209356470974500,-1.1062360000,1.1825980000,-0.0022642940,0.0768844100,0.1350044000,0.0047845400,0.9878460000,-0.8387731000,1.0319900000,0.9494609000,0.0768844000,0.1350044000,0.0047845400,0.9878460000,
6.0742974062,1001209356480961000,-1.1062340000,1.1825940000,-0.0022383410,0.0769329000,0.1350117000,0.0046416590,0.9878419000,-0.8387796000,1.0318520000,0.9494680000,0.0769329100,0.1350117000,0.0046416570,0.9878419000,
6.0852918062,1001209356490982900,-1.1062210000,1.1826370000,-0.0022665200,0.0769504400,0.1350203000,0.0045293160,0.9878399000,-0.8387668000,1.0318300000,0.9494298000,0.0769504500,0.1350203000,0.0045293170,0.9878399000,
6.0966004062,1001209356500948600,-1.1062100000,1.1826590000,-0.0022614710,0.0769319800,0.1349861000,0.0044767880,0.9878463000,-0.8388307000,1.0318730000,0.9494590000,0.0769319800,0.1349860000,0.0044767880,0.9878463000,
6.1075259062,1001209356516070000,-1.1062050000,1.1826950000,-0.0022539080,0.0769661700,0.1349810000,0.0044394680,0.9878445000,-0.8388417000,1.0318330000,0.9494588000,0.0769661800,0.1349810000,0.0044394680,0.9878445000,
6.1187739062,1001209356526127900,-1.1062050000,1.1827190000,-0.0022481710,0.0769609100,0.1350309000,0.0044214860,0.9878381000,-0.8387474000,1.0318630000,0.9494392000,0.0769609100,0.1350309000,0.0044214870,0.9878381000,
6.1298435062,1001209356536108900,-1.1061910000,1.1827440000,-0.0022474300,0.0769588400,0.1350027000,0.0044253310,0.9878421000,-0.8387873000,1.0318930000,0.9494558000,0.0769588500,0.1350027000,0.0044253320,0.9878421000,
6.1414394062,1001209356551131100,-1.1061890000,1.1827700000,-0.0022506350,0.0769688700,0.1350468000,0.0044299360,0.9878353000,-0.8386993000,1.0319010000,0.9494257000,0.0769688700,0.1350468000,0.0044299350,0.9878353000,
6.1520353062,1001209356556139600,-1.1061900000,1.1827910000,-0.0022605050,0.0769811600,0.1351268000,0.0044423160,0.9878234000,-0.8385437000,1.0319040000,0.9493688000,0.0769811600,0.1351268000,0.0044423190,0.9878234000,
6.1632356062,1001209356566135300,-1.1061860000,1.1827960000,-0.0022492610,0.0769779200,0.1351506000,0.0044675390,0.9878202000,-0.8384888000,1.0319230000,0.9493682000,0.0769779300,0.1351506000,0.0044675390,0.9878203000,
6.1744794062,1001209356581249900,-1.1061710000,1.1828050000,-0.0022795560,0.0769896200,0.1351775000,0.0044972720,0.9878155000,-0.8384171000,1.0319180000,0.9493197000,0.0769896200,0.1351775000,0.0044972730,0.9878155000,
6.1855860062,1001209356596311400,-1.1061670000,1.1827970000,-0.0022740710,0.0769591800,0.1351926000,0.0044901790,0.9878158000,-0.8383850000,1.0319680000,0.9493264000,0.0769591900,0.1351926000,0.0044901790,0.9878158000,
6.1966748062,1001209356601221300,-1.1061560000,1.1827820000,-0.0022748790,0.0769183600,0.1351562000,0.0045253320,0.9878238000,-0.8384389000,1.0320420000,0.9493579000,0.0769183800,0.1351563000,0.0045253330,0.9878238000,
