participant_id,session_label,session_start_utc,random_seed,mapping_version,sequence_index,total_planned_trials,condition_index,repetition,eye_presentation,angular_diameter_deg,grid_line_spacing_deg,grid_line_spacing_uv,visual_space_l,content_zoom,oomes_endpoint_equivalent,stimulus_duration_s,noise_until_response,response_timeout_s,category_a_key,category_b_key,response_keys_swapped
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,45,105,4,13,BothEyes,60,8,0.24342386624268122,0.600000024,1,0.79999995231628418,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,46,105,5,11,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,47,105,3,12,BothEyes,60,8,0.24342386624268122,0.800000012,1,0.39999997615814209,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,48,105,7,3,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,49,105,7,12,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,50,105,7,8,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,51,105,5,12,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,52,105,1,15,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,53,105,7,10,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,54,105,1,1,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,55,105,5,15,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,56,105,3,13,BothEyes,60,8,0.24342386624268122,0.800000012,1,0.39999997615814209,0.600000024,1,10,UP,DOWN,0
